,AWAY_TEAM_ABBREVIATION,GAME_ID,AWAY_STL,AWAY_BLK,AWAY_PF,AWAY_PLUS_MINUS,HOME_TEAM_ABBREVIATION,HOME_STL,HOME_BLK,HOME_PF,HOME_PLUS_MINUS,HOME_OFF_RATING,HOME_DEF_RATING,HOME_AST_TOV,HOME_AST_RATIO,HOME_OREB_PCT,HOME_DREB_PCT,HOME_REB_PCT,HOME_TM_TOV_PCT,HOME_TS_PCT,HOME_PACE,HOME_PIE,AWAY_OFF_RATING,AWAY_DEF_RATING,AWAY_AST_TOV,AWAY_AST_RATIO,AWAY_OREB_PCT,AWAY_DREB_PCT,AWAY_REB_PCT,AWAY_TM_TOV_PCT,AWAY_TS_PCT,AWAY_E_PACE,AWAY_PACE,AWAY_PIE,HomeWin
59,NOP,21600060,8,9,26,-6,MEM,12,5,22,6,87.3,81.4,1.0,14.0,0.375,0.808,0.569,19.6,0.433,92.38,0.55,81.4,87.3,0.77,13.4,0.192,0.625,0.431,21.6,0.471,97.29,92.38,0.45,1
60,BOS,21600061,10,4,24,7,CHI,7,7,19,-7,109.2,103.1,2.33,20.8,0.245,0.633,0.439,12.2,0.566,97.5,0.534,103.1,109.2,1.11,15.6,0.367,0.755,0.561,19.6,0.528,97.56,97.5,0.466,0
61,DAL,21600062,4,4,20,-16,UTA,6,3,21,16,92.0,110.2,1.38,16.0,0.182,0.729,0.467,14.8,0.498,88.0,0.444,110.2,92.0,1.5,15.2,0.271,0.818,0.533,13.6,0.548,90.92,88.0,0.556,1
62,PHX,21600063,10,5,20,3,POR,8,8,23,-3,105.4,101.8,1.25,10.5,0.27,0.77,0.516,10.7,0.508,101.89,0.501,101.8,105.4,1.67,16.6,0.23,0.73,0.484,13.3,0.522,103.9,101.89,0.499,0
63,OKC,21600064,8,4,24,2,LAC,13,5,19,-2,82.2,84.2,1.16,16.2,0.259,0.692,0.464,18.8,0.437,101.0,0.521,84.2,82.2,0.64,10.9,0.308,0.741,0.536,21.8,0.458,105.36,101.0,0.479,0
64,ORL,21600065,5,4,14,8,SAC,8,1,23,-8,113.3,104.4,1.71,18.2,0.392,,,15.6,0.542,90.0,0.568,104.4,113.3,1.21,14.3,,0.608,,15.6,0.537,92.8,90.0,0.432,0
65,IND,21600066,14,4,23,-18,MIL,10,6,23,18,103.9,121.4,1.38,20.3,0.311,,,20.4,0.576,103.0,0.415,121.4,103.9,1.52,22.0,,0.689,,20.4,0.675,102.72,103.0,0.585,1
66,MIN,21600067,8,4,22,-3,DEN,10,2,24,3,101.0,100.0,1.09,17.4,0.333,0.714,0.545,21.8,0.554,100.0,0.545,100.0,101.0,1.25,14.8,0.286,0.667,0.455,16.2,0.5,104.0,100.0,0.455,1
67,CLE,21600068,6,6,19,6,BOS,4,6,28,-6,122.0,126.7,3.13,18.0,0.264,0.773,0.495,8.0,0.577,100.5,0.443,126.7,122.0,3.0,18.1,0.227,0.736,0.505,7.9,0.638,102.48,100.5,0.557,0
68,GSW,21600069,9,14,18,26,OKC,8,6,20,-26,124.5,97.0,1.69,19.2,0.348,0.655,0.519,16.3,0.624,98.5,0.666,97.0,124.5,1.25,14.8,0.345,0.652,0.481,16.2,0.483,100.56,98.5,0.334,0
