,GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TOV,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,E_TM_TOV_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,E_USG_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE
0,22000050,1610612764,Wizards,WAS,Washington,240:00:00,98.7,98.2,104.5,106.5,-5.8,-8.3,0.676,1.19,17.7,0.204,0.827,0.525,19.366,19.3,0.5,0.561,1,0.196,109.26,108.5,90.42,109,0.489
1,22000050,1610612741,Bulls,CHI,Chicago,240:00:00,104.5,106.5,98.7,98.2,5.8,8.3,0.684,1.86,18.4,0.173,0.796,0.475,12.718,13,0.523,0.569,1,0.202,109.26,108.5,90.42,108,0.511
0,22000051,1610612749,Bucks,MIL,Milwaukee,240:00:00,136.4,139.8,91.6,94.2,44.8,45.6,0.627,1.88,21.7,0.333,0.822,0.586,16.098,16.5,0.712,0.73,1,0.199,105.76,103,85.83,103,0.673
1,22000051,1610612748,Heat,MIA,Miami,240:00:00,91.6,94.2,136.4,139.8,-44.8,-45.6,0.622,1.05,17.4,0.178,0.667,0.414,20.77,21.4,0.538,0.558,1,0.198,105.76,103,85.83,103,0.327
0,22000052,1610612753,Magic,ORL,Orlando,240:00:00,115.6,114.6,101.6,103.9,14.1,10.7,0.531,2.36,18.6,0.245,0.729,0.485,10.78,10.7,0.547,0.573,1,0.198,103.7,103,85.83,103,0.572
1,22000052,1610612760,Thunder,OKC,Oklahoma City,240:00:00,101.6,103.9,115.6,114.6,-14.1,-10.7,0.465,1,14.8,0.271,0.755,0.515,18.983,19.4,0.557,0.561,1,0.198,103.7,103,85.83,103,0.428
0,22000053,1610612756,Suns,PHX,Phoenix,240:00:00,120.2,120.7,89.7,91.5,30.5,29.2,0.649,2,18.7,0.277,0.721,0.489,12.993,13,0.554,0.601,1,0.197,94.14,93,77.5,92,0.595
1,22000053,1610612740,Pelicans,NOP,New Orleans,240:00:00,89.7,91.5,120.2,120.7,-30.5,-29.2,0.486,1,14.9,0.279,0.723,0.511,18.766,19.1,0.5,0.506,1,0.196,94.14,93,77.5,94,0.405
0,22000054,1610612750,Timberwolves,MIN,Minnesota,240:00:00,101.5,102,120.3,126.5,-18.8,-24.5,0.595,1.57,16.6,0.259,0.698,0.454,14.073,14.1,0.489,0.523,1,0.199,101.26,98.5,82.08,99,0.387
1,22000054,1610612746,Clippers,LAC,LA,240:00:00,120.3,126.5,101.5,102,18.8,24.5,0.681,2.13,22.5,0.302,0.741,0.546,14.557,15.3,0.625,0.652,1,0.196,101.26,98.5,82.08,98,0.613
